t,x,y,yaw,vx
92.350001376,0.0026146066393966457,-1.7551999019806162e-08,-7.552747882842344e-07,0.000162299518706277
92.375001376,0.002615338586068623,2.1787154869299033e-08,-9.300452281740458e-07,0.00012806477025151253
92.387501376,0.002615734362007056,-9.207213913470499e-09,-7.64734558802389e-07,-6.293326441664249e-05
92.400001376,0.0026144278254666637,-4.9738531233040084e-08,-9.21751779128723e-07,-0.0003746432776097208
92.425001377,0.002615159771054455,-7.596447990088515e-08,-9.286713912498829e-07,-2.719226358749438e-05
92.437501377,0.0026152646774128437,-5.8083085759971634e-08,-9.311328420961094e-07,-8.066723239608109e-05
92.450001377,0.00261442067343384,1.135781911421579e-07,-4.204446647179671e-07,-1.4356596693687607e-05
92.475001377,0.0026156532985976517,-1.2783496799665909e-08,-7.639142859369861e-07,0.00018682277004700154
92.487501378,0.002616204046054929,3.847656838551213e-08,-5.971435859002914e-07,0.0002199281589128077
92.500001378,0.0026152050700277256,3.294748483490929e-10,-4.162581273391306e-07,0.00013151911844033748
92.525001378,0.002616854929879544,-4.1393574823823705e-08,-7.64587000635451e-07,0.00017522659618407488
92.537501378,0.0026172936189616325,3.6092529044859106e-08,-7.663873689440399e-07,0.0001453970471629873
92.550001379,0.0026164520002928226,-2.5896407948057882e-08,-9.232171898496619e-07,8.02071881480515e-05
92.575001379,0.0026178324466082713,-1.0099809155847495e-07,-9.370873873871824e-07,-7.645629375474527e-05
92.587501379,0.002616497298738501,-9.026941152075441e-08,-9.25702791913158e-07,-0.00017679952725302428
92.600001379,0.002616051456533954,-2.9472737123924385e-08,-1.0918379841243334e-06,-0.0002665058709681034
92.62500138,0.002617005132498093,-9.146144955017293e-08,-9.347910415537071e-07,4.453849214769434e-06
92.63750138,0.0026156199178214786,-9.38458047886833e-08,-5.849291806617479e-07,-0.00022954586893320084
92.65000138,0.002615073938173901,-3.0664948016202913e-08,-4.111500350474071e-07,-0.00016976907500065863
92.67500138,0.002617563033612632,-9.146138460642782e-08,-9.067944291179263e-08,0.00018143471970688552
92.687501381,0.002617577334863425,1.946409356741304e-07,-9.073577786111552e-08,0.00010958370694424957
92.700001381,0.002616103907527071,-1.9935980213756554e-08,-2.448488337940658e-07,6.009081698721275e-05
92.725001381,0.002617148181453292,-4.4969794005792956e-08,-2.5203833250579155e-07,7.199843093985692e-05
92.737501381,0.002618311666290125,6.708708116461503e-08,-9.028651817795059e-08,0.0001692839723546058
92.750001382,0.0026188171147774977,1.70192407948951e-08,-4.295922309050268e-07,0.00015943091420922428
92.775001382,0.002618581078755929,-6.642728357225371e-08,-9.292762327452418e-07,0.00014942034613341093
92.787501382,0.0026194370019878557,3.370863134766395e-08,-7.665650000003582e-07,0.0001000217380351387
92.800001382,0.002619646809804243,-6.523504743098647e-08,-7.667397392039606e-07,-8.744590741116554e-05
92.825001383,0.0026187479711877043,1.3503644154877515e-07,-5.941088324736774e-07,-3.52982351614628e-05
92.837501383,0.0026174390521146395,-6.8227822533853915e-09,-4.1266976434443196e-07,-0.00010654293873813003
92.850001383,0.00261719586299,-9.622976871146484e-08,-5.761462063566506e-07,5.539609264815226e-05
92.875001383,0.0026194989908379634,-1.1172669357231918e-07,-7.626061109158273e-07,8.120400161715224e-05
92.887501384,0.0026193964702582377,2.172909351560287e-07,-4.2592147727036424e-07,0.00016744289314374328
92.900001384,0.0026190817566698584,1.52208546433483e-09,-9.237462644318933e-07,0.00013410350948106498
92.925001384,0.00262026431390819,5.278223222350624e-08,-9.34589418291683e-07,-0.00010211487096967176
92.937501384,0.0026190436091532705,-1.755140264316562e-08,-1.0947070891759909e-06,-0.00016912100545596331
92.950001385,0.002618614456266083,-8.19244800314321e-08,-1.0938553246816576e-06,-0.00029133824864402413
92.975001385,0.002617839595320279,4.6821451881797894e-08,-4.148094021750724e-07,-9.323486301582307e-05
92.987501385,0.0026181590745914846,-6.285104151926976e-08,-7.513745338604683e-07,1.9031196643481962e-05
93.000001385,0.002619637274146868,-1.1590875110955429e-08,-1.2690273697245845e-06,4.3552849092520773e-05
93.025001386,0.0026190173847545177,-5.8082574659462035e-08,-1.0973045829837305e-06,2.5698280296637677e-05
93.037501386,0.002617994566308166,1.3442878333478432e-08,-5.864762532253468e-07,3.0330636946018785e-05
93.050001386,0.0026173556034208368,3.132419257871037e-08,-7.609646335891959e-08,-9.7403179097455e-05
93.075001386,0.002619475148424744,-4.616158417600417e-08,-7.654576587317418e-07,0.0001715051766950637
93.087501387,0.0026201188802291923,-5.6890343755258e-08,-7.658764047709404e-07,0.00022911501582711935
93.100001387,0.002619410773745501,1.2788397995967368e-07,-8.382638861456591e-08,0.00016783716273494065
93.125001387,0.0026203978288754765,-7.000332141600869e-08,-7.653340767256992e-07,0.00019979875651188195
93.137501387,0.002620257162462083,-8.311636552174216e-08,-7.624696208396728e-07,0.00016161573876161128
93.150001388,0.0026206338632338328,1.89872961530262e-07,-5.98342134916138e-07,0.00014982681022956967
93.175001388,0.002620781682793719,-1.1411070695568696e-07,-1.2694110262297596e-06,2.6393905500299297e-05
93.187501388,0.0026208722829406785,-6.88111714448774e-08,-1.1029132765236294e-06,-7.381993782473728e-05
93.200001388,0.0026202452409696455,4.3245483147772084e-08,-1.096731095491794e-06,-0.00012879690621048212
93.225001389,0.002618418950835949,-1.2783104977768285e-08,-7.473131001181398e-07,-0.00017502138507552445
93.237501389,0.002618547695782862,-6.642726127478372e-08,-7.46810626809917e-07,9.932767170539591e-06
93.250001389,0.002620219013843683,-3.6624737680335173e-08,-9.303569152179847e-07,3.76225943909958e-05
93.275001389,0.002620199939808614,-1.9935436358919216e-08,-9.272644573201538e-07,-0.00011868133151438087
93.28750139,0.0026208913564210756,-2.4703731747406405e-08,-9.355081336855732e-07,-0.000135750524350442
93.30000139,0.0026199042991376293,-6.881127476784971e-08,-5.858950780343108e-07,-6.021695298841223e-05
93.32500139,0.002620874665451881,1.9225718303575837e-07,-4.3005946774621983e-07,6.694486364722252e-05
93.33750139,0.0026215279334768672,3.906586655673313e-09,-9.33565641616982e-07,0.00013672512432094663
93.350001391,0.002620929502287911,7.066371171656094e-08,-1.0977194589038728e-06,-0.00017628000932745636
93.375001391,0.002619267720422472,5.0397935916005306e-08,-2.446963885629788e-07,-0.00024227440007962286
93.387501391,0.0026183593434641293,-5.331425469659471e-08,-5.687690836162721e-07,-6.512961408589035e-05
93.400001391,0.0026200592717513962,-8.619622419742776e-10,-5.864831021808256e-07,-3.6866757000098005e-05
93.425001392,0.002622503064381586,-6.523466351953275e-08,-7.645801590347422e-07,0.0001510201982455328
93.437501392,0.0026225602859345255,-7.238721989751063e-08,-5.971486177074099e-07,0.0001366108626825735
93.450001392,0.002622362397406151,3.7285306586979404e-08,-9.270205549403819e-07,0.0001618607493583113
93.475001392,0.0026233279942907517,3.8477519224945664e-08,-9.346152669432101e-07,5.25671239302028e-05
93.487501393,0.0026225245209502896,1.2251384268595464e-08,-7.554333344436874e-07,6.884895992698148e-05
93.500001393,0.002622512598935868,-4.377697672659398e-08,-9.225080301833954e-07,0.0001692371442914009
93.525001393,0.0026230561949383857,-6.404249292924329e-08,-9.299082568370245e-07,4.82442601423827e-06
93.537501393,0.0026216519078637967,-3.185616345768862e-08,-5.810564796314171e-07,-0.00030716738547198474
93.550001394,0.0026212513635622747,-6.404271877775297e-08,-4.098210316666706e-07,6.339164974633604e-05
93.575001394,0.0026235139591571943,-6.761871343537608e-08,-5.936520073685087e-07,0.00019858143059536815
93.587501394,0.002624324582308431,6.351161402698768e-08,-4.272734877430909e-07,0.00014735809236299247
93.600001394,0.002623571178527339,-9.861311433155272e-08,-9.225443973456954e-07,0.00011767443356802687
93.625001395,0.0026245534646980547,9.86746114533746e-09,-1.1024876509990969e-06,1.677798354648985e-05
