t,x,y,yaw,vx
0.000000,0.000000,0.000000,0.000000,0.000000
0.101000,0.005000,0.001000,0.000000,0.049505
0.204000,0.013000,0.001000,0.000000,0.077670
0.294000,0.024000,0.000000,0.000000,0.122222
0.396000,0.037000,0.001000,0.000000,0.127451
0.498000,0.054000,0.001000,0.000000,0.166667
0.600000,0.074000,0.000000,0.000000,0.196078
0.702000,0.098000,0.001000,0.000000,0.235294
0.803000,0.124000,0.000000,0.000000,0.257426
0.895000,0.152000,0.001000,0.000000,0.304348
0.996000,0.184000,0.001000,0.000000,0.316832
1.098000,0.220000,0.001000,0.000000,0.352941
1.200000,0.254000,0.002000,0.000000,0.333333
1.302000,0.294000,0.003000,0.000000,0.392157
1.403000,0.334000,0.002000,0.000000,0.396040
1.495000,0.373000,0.002000,0.000000,0.423913
1.596000,0.414000,0.003000,0.000000,0.405941
1.698000,0.453000,0.003000,0.000000,0.382353
1.799000,0.493000,0.002000,0.000000,0.396040
1.902000,0.533000,0.002000,0.000000,0.388350
2.004000,0.572000,0.002000,0.000000,0.382353
2.105000,0.612000,0.002000,0.000000,0.396040
2.197000,0.651000,0.003000,0.000000,0.423913
2.298000,0.692000,0.003000,0.000000,0.405941
2.400000,0.728000,0.003000,0.000000,0.352941
2.502000,0.769000,0.003000,0.000000,0.401961
2.603000,0.808000,0.003000,0.000000,0.386139
2.705000,0.848000,0.004000,0.000000,0.392157
2.796000,0.887000,0.003000,0.000000,0.428571
2.898000,0.928000,0.003000,0.000000,0.401961
3.000000,0.964000,0.002000,0.000000,0.352941
3.102000,1.005000,0.002000,0.000000,0.401961
3.203000,1.044000,0.003000,0.000000,0.386139
3.305000,1.084000,0.003000,0.000000,0.392157
3.397000,1.123000,0.003000,0.000000,0.423913
3.498000,1.164000,0.003000,0.000000,0.405941
3.601000,1.161000,0.004000,0.000000,-0.029126
3.702000,1.201000,0.004000,0.000000,0.396040
3.804000,1.241000,0.004000,0.000000,0.392157
3.905000,1.281000,0.005000,0.000000,0.396040
3.997000,1.321000,0.005000,0.000000,0.434783
4.099000,1.360000,0.004000,0.000000,0.382353
4.201000,1.402000,0.004000,0.000000,0.411765
4.302000,1.442000,0.004000,0.000000,0.396040
4.404000,1.482000,0.004000,0.000000,0.392157
4.506000,1.521000,0.005000,0.000000,0.382353
4.598000,1.561000,0.004000,0.000000,0.434783
4.700000,1.601000,0.004000,0.000000,0.392157
4.801000,1.646000,0.003000,0.000000,0.445545
4.903000,1.685000,0.004000,0.000000,0.382353
5.005000,1.725000,0.004000,0.000000,0.392157
5.107000,1.765000,0.004000,0.000000,0.392157
5.199000,1.805000,0.004000,0.000000,0.434783
5.300000,1.845000,0.004000,0.000000,0.396040
5.402000,1.884000,0.006000,0.000000,0.382353
5.504000,1.924000,0.007000,0.000000,0.392157
5.605000,1.964000,0.007000,0.000000,0.396040
5.707000,2.004000,0.007000,0.000000,0.392157
5.799000,2.043000,0.008000,0.000000,0.423913
5.901000,2.083000,0.007000,0.000000,0.392157
6.002000,2.124000,0.006000,0.000000,0.405941
6.104000,2.165000,0.006000,0.000000,0.401961
6.206000,2.204000,0.006000,0.000000,0.382353
6.308000,2.244000,0.007000,0.000000,0.392157
6.399000,2.284000,0.007000,0.000000,0.439560
6.501000,2.324000,0.006000,0.000000,0.392157
6.603000,2.370000,0.006000,0.000000,0.450980
6.704000,2.410000,0.006000,0.000000,0.396040
6.807000,2.449000,0.006000,0.000000,0.378641
6.898000,2.490000,0.006000,0.000000,0.450549
7.000000,2.529000,0.006000,0.000000,0.382353
7.101000,2.569000,0.007000,0.000000,0.396040
7.203000,2.612000,0.003000,0.000000,0.421569
7.304000,2.653000,0.003000,0.000000,0.405941
7.406000,2.692000,0.004000,0.000000,0.382353
7.508000,2.732000,0.004000,0.000000,0.392157
7.599000,2.773000,0.004000,0.000000,0.450549
7.701000,2.812000,0.004000,0.000000,0.382353
7.803000,2.866000,0.006000,0.000000,0.529412
7.904000,2.905000,0.006000,0.000000,0.386139
8.008000,2.946000,0.007000,0.000000,0.394231
8.099000,2.985000,0.007000,0.000000,0.428571
8.201000,3.025000,0.007000,0.000000,0.392157
8.303000,3.065000,0.007000,0.000000,0.392157
8.405000,3.093000,0.010000,0.000000,0.274510
8.506000,3.133000,0.010000,0.000000,0.396040
8.608000,3.173000,0.010000,0.000000,0.392157
8.700000,3.213000,0.011000,0.000000,0.434783
8.802000,3.252000,0.011000,0.000000,0.382353
8.903000,3.293000,0.012000,0.000000,0.405941
9.005000,3.351000,0.003000,0.000000,0.568627
9.107000,3.391000,0.003000,0.000000,0.392157
9.199000,3.432000,0.003000,0.000000,0.445652
9.300000,3.471000,0.004000,0.000000,0.386139
9.402000,3.511000,0.004000,0.000000,0.392157
9.503000,3.551000,0.004000,0.000000,0.396040
9.605000,3.604000,0.003000,0.000000,0.519608
9.707000,3.643000,0.004000,0.000000,0.382353
9.798000,3.684000,0.004000,0.000000,0.450549
9.900000,3.723000,0.005000,0.000000,0.382353
10.002000,3.763000,0.006000,0.000000,0.392157
10.103000,3.804000,0.006000,0.000000,0.405941
10.205000,3.830000,0.004000,0.000000,0.254902
10.307000,3.871000,0.005000,0.000000,0.401961
10.408000,3.910000,0.005000,0.000000,0.386139
10.510000,3.950000,0.005000,0.000000,0.392157
10.602000,3.990000,0.005000,0.000000,0.434783
10.704000,4.030000,0.006000,0.000000,0.392157
10.806000,4.074000,0.005000,0.000000,0.431373
10.908000,4.113000,0.005000,0.000000,0.382353
11.009000,4.153000,0.005000,0.000000,0.396040
11.111000,4.192000,0.005000,0.000000,0.382353
11.203000,4.233000,0.005000,0.000000,0.445652
11.304000,4.272000,0.005000,0.000000,0.386139
11.406000,4.314000,0.006000,0.000000,0.411765
11.507000,4.354000,0.006000,0.000000,0.396040
11.609000,4.394000,0.007000,0.000000,0.392157
11.711000,4.434000,0.006000,0.000000,0.392157
11.803000,4.473000,0.006000,0.000000,0.423913
11.905000,4.514000,0.007000,0.000000,0.401961
12.007000,4.559000,0.008000,0.000000,0.441176
12.108000,4.599000,0.008000,0.000000,0.396040
12.210000,4.638000,0.009000,0.000000,0.382353
12.311000,4.679000,0.009000,0.000000,0.405941
12.403000,4.717000,0.008000,0.000000,0.413043
