t,x,y,yaw,vx
339.287505055,0.002612744128861366,-3.3257549590194466e-07,-2.779432305842389e-06,-7.485919013561215e-06
339.300005055,0.002612722671202217,4.889423138978417e-08,-2.9507057420348413e-06,-4.177363734925166e-05
339.325005056,0.0026116044808373717,-8.938860447766205e-08,-1.926684163333636e-06,-5.1162016461603343e-05
339.337505056,0.0026135428311046846,-2.2290297666005925e-07,-1.9358942607816715e-06,0.0002635013952385634
339.350005056,0.0026144488253182717,-1.9071645027684143e-07,-2.4439711288134283e-06,0.00021668430417776108
339.375005057,0.0026145465697076965,-2.8608398323096516e-07,-3.2843746670329644e-06,6.977916200412437e-05
339.387505057,0.0026147921444601746,-1.7521930329911647e-07,-2.950793889645884e-06,8.15812309156172e-05
339.400005057,0.0026136763443082374,-1.2157510141143082e-07,-1.7646767861880609e-06,-8.086417801678181e-05
339.425005057,0.0026144297458125694,-1.5495374442279684e-07,-2.2691828162266217e-06,0.00022644823184236884
339.437505058,0.0026165898241578213,-1.8237187277261975e-07,-2.4503784867016774e-06,0.00014148998889140785
339.450005058,0.002615445410161738,-1.9667701395217388e-07,-2.270979300941502e-06,-0.00014542527787853032
339.475005058,0.0026172287847445646,-2.062137687305166e-07,-2.9516249766628035e-06,6.717401265632361e-05
339.487505058,0.002616537368462945,-3.932077252470294e-08,-2.9468166211448913e-06,-9.598249744158238e-05
339.500005058,0.002616649425190045,-1.8714029537603628e-07,-1.9379044741321787e-06,3.888632636517286e-05
339.525005059,0.0026165945853041145,-1.9906127146309148e-07,-2.267757595992567e-06,0.00022963920491747558
339.537505059,0.0026187832762909714,-1.120384501527584e-07,-2.2831614161970303e-06,0.0001574022462591529
339.550005059,0.0026176817728227487,-1.227673794318541e-07,-2.608013384166985e-06,-6.9411307777045295e-06
339.57500506,0.002618776115304764,-1.1203856423285991e-07,-2.6106279418198454e-06,3.8390702684409916e-05
339.58750506,0.0026194246198582515,-1.692589635977845e-07,-2.7845844179423065e-06,-4.8536226131545845e-06
339.60000506,0.0026182182182379805,-1.1799897708576839e-07,-1.934016543356329e-06,-0.0002117901312885806
339.62500506,0.0026196701849731142,-1.9548509730439528e-07,-2.609814812944068e-06,0.0002280614571645856
339.63750506,0.002620294848875416,-1.7641153421464949e-07,-2.7835977513707513e-06,1.7404408936272375e-05
339.650005061,0.002618847640872991,-2.7297110755727953e-07,-2.604003219945977e-06,-0.000506897340528667
339.675005061,0.002619629656221793,-2.288636643373441e-07,-2.945389671848299e-06,-0.0001372765254927799
339.687505061,0.0026195795895252983,-2.002534168116592e-07,-2.274563995823539e-06,-1.716585029498674e-05
339.700005061,0.002620139874395414,-4.1705064419141485e-08,-1.940039435360245e-06,0.00010944833775283769
339.725005062,0.0026208479763674304,-1.430330009348894e-07,-2.615890336069842e-06,9.268746362067759e-05
339.737505062,0.002620249540914059,-2.503214065197594e-07,-2.6084544242341592e-06,-5.453239646158181e-05
339.750005062,0.0026208193673408577,-1.7879577049588442e-07,-2.782648209266255e-06,6.398679397534579e-05
339.775005063,0.0026197488619011115,-1.6449070102704697e-07,-2.4353225317036712e-06,-0.0002195227862102911
339.787505063,0.002620712076571954,-1.823720781998564e-07,-2.6088151167854834e-06,7.355512207141146e-05
339.800005063,0.0026205499531455245,-8.93888105083774e-08,-2.9451133358966553e-06,8.584013994550332e-05
339.825005063,0.002620468889620986,-1.942929988899425e-07,-2.9455911242654993e-06,-0.00013207821757532656
339.837505063,0.0026207263828946603,-6.912323728091636e-08,-1.265203870299746e-06,6.783715434721671e-06
339.850005064,0.002620375907581774,-1.2157531277194477e-07,-1.764038436689652e-06,6.430621579056606e-05
339.875005064,0.002622533598130172,-1.1084651738014452e-07,-2.2785793042623604e-06,0.00015693528985138983
339.887505064,0.0026217277361066283,-1.6568286117689287e-07,-2.6095476158145753e-06,-0.00013376763672567904
339.900005064,0.0026226837982187647,-2.229033036583686e-07,-2.951217931885811e-06,6.180319905979559e-05
339.925005065,0.002622259416770497,7.035161205539846e-08,-2.2813836763981275e-06,4.234053267282434e-05
339.937505065,0.002621911323225927,-2.538976763561839e-07,-2.4454173138533894e-06,3.025153887392662e-07
339.950005065,0.0026206834663433268,-1.5733812642184275e-07,-2.437921633675947e-06,-0.00032300918246619403
339.975005066,0.0026224644567421048,-1.1561488661232496e-07,-2.7830742647360593e-06,3.953787199861836e-06
339.987505066,0.0026198776031153797,-2.2051913681902925e-07,-3.1016912111778188e-06,-0.0005614882102236152
340.000005066,0.0026203711343934714,-1.2872793531046922e-07,-1.2538993032985343e-06,-0.00024397998640779406
340.025005066,0.0026237972214193496,9.554887448129002e-09,-1.4431986227560117e-06,0.00012439361307770014
340.037505066,0.0026210267830771516,-1.370726405258554e-07,-1.584117795721787e-06,9.417541150469333e-05
340.050005067,0.0026218350232628885,-1.7045125273712744e-07,-2.0953966006147734e-06,3.7623500247718766e-05
340.075005067,0.002624583994295566,-1.5495407319480013e-07,-2.2739367991059347e-06,0.00018941526650451124
340.087505067,0.0026241333783578436,-3.5999410123511965e-07,-2.435842999272793e-06,-9.097906149690971e-05
340.100005067,0.0026257450988007515,-9.51869774471972e-09,-2.618258222326006e-06,0.00012705271365121007
340.125005068,0.0026257093311913503,-1.8833269618297212e-07,-1.9414135347644023e-06,3.905447738361545e-05
340.137505068,0.0026242049051413687,-1.9190898906752916e-07,-1.7603407925498045e-06,-2.3010892618913203e-05
340.150005068,0.002624946388126732,-1.7402760450314892e-07,-1.7583036310657862e-06,-7.23201665095985e-05
340.175005069,0.0026261313284677602,-7.150765576106011e-08,-1.9307169330875886e-06,-0.00011725220247171819
340.187505069,0.002627144608628749,-1.835644060443623e-07,-2.437829970717776e-06,0.00023486893041990697
340.200005069,0.002628789698030037,-1.1919142926529516e-07,-2.7845924418615147e-06,0.00014553716755472124
340.225005069,0.002627642903460038,-1.4780163611425976e-07,-2.6060336942532008e-06,-0.0003676822525449097
340.237505069,0.002628410614899962,-5.243418156943298e-08,-2.7790049565047725e-06,8.889276796253398e-05
340.25000507,0.002628746781478258,-2.205193402568063e-07,-3.450878835402926e-06,2.9247015845612623e-05
340.27500507,0.002628160270573445,-1.1442306895529145e-07,-1.5939307504388262e-06,-4.147624713368714e-05
340.28750507,0.002629199776785818,1.7830016547314632e-11,-1.935565552317479e-06,0.0002786015102174133
340.30000507,0.0026307399632038374,-3.075421567056144e-07,-2.447313067847109e-06,0.0002467396261636168
340.325005071,0.002630716122558523,-5.839472440232704e-08,-2.10727005339434e-06,0.0001397578016621992
340.337505071,0.0026301820625280565,-2.1455890822703608e-07,-2.945345486044429e-06,-0.00013331789523363113
