t,x,y,yaw,vx
0.000000,0.002247,0.000000,-0.000002,0.000162
0.025000,0.002246,-0.000000,-0.000002,-0.000217
0.150000,0.008684,-0.000151,-0.002047,0.280006
0.262500,0.044450,-0.000381,-0.004648,0.311665
0.362500,0.076414,-0.000694,-0.007237,0.328115
0.475000,0.114174,-0.001171,-0.010335,0.327661
0.600000,0.155615,-0.001860,-0.014242,0.292653
0.712500,0.188818,-0.002528,-0.017223,0.315943
0.825000,0.226636,-0.003390,-0.020385,0.315871
0.925000,0.257375,-0.004095,-0.021501,0.319465
1.025000,0.285455,-0.004854,-0.024018,0.310841
1.150000,0.325216,-0.005724,-0.022347,0.322162
1.250000,0.358777,-0.006303,-0.019670,0.322207
1.362500,0.394917,-0.006827,-0.016858,0.304575
1.462500,0.423267,-0.007138,-0.014173,0.304638
1.600000,0.464648,-0.007476,-0.010481,0.316797
1.675000,0.487238,-0.007597,-0.008483,0.304697
1.800000,0.525151,-0.007699,-0.005132,0.304731
1.900000,0.555998,-0.007683,-0.002318,0.322573
2.012500,0.593847,-0.007572,0.000688,0.298246
2.125000,0.630720,-0.007345,0.003693,0.322505
2.250000,0.667122,-0.007007,0.006829,0.316515
2.362500,0.701506,-0.006577,0.009835,0.292270
2.475000,0.734873,-0.006054,0.012884,0.305828
2.575000,0.766350,-0.005474,0.015670,0.322600
2.675000,0.799625,-0.004815,0.017689,0.324470
2.800000,0.841104,-0.004081,0.017687,0.312169
2.912500,0.875225,-0.003478,0.017676,0.307615
3.012500,0.904904,-0.002954,0.017675,0.319796
3.125000,0.941443,-0.002307,0.017682,0.312686
3.262500,0.986871,-0.001505,0.017653,0.307410
3.362500,1.015748,-0.000996,0.017647,0.319717
3.475000,1.050268,-0.000387,0.017646,0.324923
3.575000,1.083030,0.000191,0.017647,0.312866
3.700000,1.124407,0.000921,0.017649,0.325011
3.812500,1.161978,0.001584,0.017648,0.324929
3.912500,1.193346,0.002134,0.017585,0.290223
4.050000,1.231952,0.002812,0.017580,0.308155
4.150000,1.263805,0.003372,0.017576,0.324802
4.250000,1.297972,0.003972,0.017573,0.312698
4.350000,1.330913,0.004550,0.017570,0.312683
4.462500,1.363033,0.005112,0.017540,0.315046
4.575000,1.396160,0.005693,0.017546,0.323002
4.675000,1.428892,0.006266,0.017523,0.312791
4.800000,1.470212,0.006989,0.017520,0.324933
4.925000,1.511033,0.007820,0.019836,0.318173
5.025000,1.540934,0.009253,0.033326,0.306421
5.125000,1.570820,0.011082,0.046868,0.318583
5.250000,1.608886,0.012916,0.046924,0.328104
5.362500,1.647795,0.014537,0.043827,0.315481
5.462500,1.680891,0.015808,0.041056,0.315467
5.575000,1.714594,0.016979,0.037796,0.322753
5.712500,1.756489,0.018315,0.034151,0.322861
5.812500,1.790121,0.019297,0.031529,0.315875
5.900000,1.819097,0.020053,0.028996,0.324747
6.012500,1.854814,0.020890,0.025988,0.324706
6.125000,1.890040,0.021606,0.022956,0.312620
6.250000,1.928847,0.022272,0.019598,0.312615
6.362500,1.964352,0.022774,0.016597,0.324805
6.475000,2.000362,0.023177,0.013585,0.324450
6.600000,2.041122,0.023506,0.010273,0.315389
6.700000,2.071214,0.023614,0.007000,0.304030
6.812500,2.105988,0.023726,0.005020,0.328460
6.925000,2.144302,0.023722,0.002040,0.315922
7.025000,2.178488,0.023932,0.004272,0.310897
7.150000,2.215013,0.024289,0.007361,0.316353
7.262500,2.248045,0.024724,0.010365,0.316404
7.400000,2.292625,0.025457,0.014208,0.310456
7.512500,2.325114,0.026087,0.016928,0.299064
7.612500,2.356028,0.026477,0.014714,0.327873
7.725000,2.394162,0.026837,0.011664,0.315692
7.825000,2.427443,0.027044,0.008848,0.315678
7.950000,2.464493,0.027117,0.004963,0.316548
8.062500,2.499094,0.027096,0.001963,0.322642
8.162500,2.531132,0.026992,-0.000669,0.315595
8.300000,2.577481,0.026689,-0.004516,0.315535
8.400000,2.609677,0.026387,-0.006848,0.319532
8.512500,2.643904,0.026152,-0.006843,0.307678
8.612500,2.673451,0.025950,-0.006850,0.324730
8.725000,2.710797,0.025693,-0.006855,0.325040
8.850000,2.752675,0.025403,-0.006917,0.306976
8.962500,2.786050,0.025171,-0.006926,0.306939
9.075000,2.819614,0.024939,-0.006922,0.325405
9.175000,2.854211,0.024699,-0.006928,0.325443
9.275000,2.886304,0.024511,-0.006197,0.288851
9.400000,2.922372,0.025361,0.010241,0.288205
9.512500,2.951088,0.026102,0.017010,0.324553
9.612500,2.984115,0.026848,0.019855,0.323499
9.725000,3.022267,0.027807,0.022859,0.311305
9.850000,3.059374,0.028857,0.025950,0.315814
9.975000,3.097302,0.030073,0.029420,0.320425
10.062500,3.124607,0.031021,0.031808,0.322262
10.175000,3.161790,0.032401,0.034812,0.322335
10.300000,3.202310,0.034021,0.037786,0.286112
10.400000,3.228898,0.035200,0.040677,0.305194
10.512500,3.264465,0.036680,0.041065,0.324922
10.625000,3.303006,0.038264,0.041061,0.312886
10.750000,3.342801,0.039898,0.041058,0.307099
10.850000,3.371339,0.041070,0.041053,0.319300
10.962500,3.406146,0.042500,0.041046,0.324962
11.075000,3.444240,0.044063,0.041041,0.312951
11.200000,3.485018,0.045738,0.041035,0.306783
11.312500,3.517775,0.047082,0.041031,0.319007
11.412500,3.548484,0.048342,0.041029,0.294949
11.550000,3.589515,0.050027,0.041028,0.307828
11.662500,3.625764,0.051515,0.041041,0.324971
11.750000,3.655741,0.052739,0.040917,0.288348
11.862500,3.687063,0.054021,0.040915,0.295655
11.975000,3.721682,0.055439,0.040918,0.324620
12.100000,3.762404,0.056982,0.038723,0.315539
12.200000,3.791988,0.057964,0.036113,0.298867
12.312500,3.827454,0.059052,0.033144,0.328024
12.450000,3.873569,0.060318,0.029393,0.327991
12.525000,3.898215,0.060911,0.027210,0.315070
12.650000,3.934534,0.061900,0.027211,0.309083
12.762500,3.969955,0.062864,0.027212,0.325049
12.875000,4.008136,0.063719,0.024348,0.326756
12.975000,4.041458,0.064350,0.021570,0.309033
13.100000,4.078889,0.064919,0.018048,0.310252
13.225000,4.116361,0.065593,0.018030,0.310653
13.350000,4.155422,0.066296,0.018019,0.320931
13.450000,4.189492,0.066888,0.017567,0.302468
13.562500,4.226464,0.067509,0.017222,0.324831
13.662500,4.256559,0.067865,0.014615,0.322271
13.775000,4.290148,0.068201,0.012321,0.307996
13.900000,4.331125,0.068703,0.012298,0.312766
14.000000,4.364608,0.069115,0.012297,0.324895
14.125000,4.403499,0.069518,0.010979,0.292970
14.225000,4.430793,0.069755,0.009874,0.309621
14.325000,4.462490,0.070072,0.009902,0.324964
14.450000,4.505099,0.070493,0.009901,0.312852
14.562500,4.540932,0.070848,0.009923,0.307801
14.662500,4.569980,0.071136,0.009920,0.319737
14.775000,4.604883,0.071302,0.007055,0.321636
14.900000,4.642794,0.071402,0.004748,0.308986
15.012500,4.678090,0.071570,0.004746,0.308960
15.112500,4.711098,0.071722,0.004659,0.284153
15.225000,4.742273,0.071704,0.001971,0.255055
15.325000,4.766172,0.071721,0.001637,0.240077
15.450000,4.795225,0.071566,-0.001633,0.226770
15.562500,4.814085,0.071409,-0.004249,0.048662
15.675000,4.814660,0.071403,-0.004322,-0.000171
15.800000,4.814552,0.071404,-0.004319,-0.000009
15.900000,4.814585,0.071403,-0.004320,0.000106
16.012500,4.814754,0.071403,-0.004321,0.000179
16.125000,4.814842,0.071402,-0.004322,-0.000028
