t,x,y,yaw,vx
0.000,2.008000,2.997000,0.000000,
0.103,2.012000,2.996000,0.000000,0.038835
0.205,2.017000,2.998000,0.000000,0.049020
0.298,2.025000,2.998000,0.000000,0.086022
0.401,2.035000,2.998000,0.000000,0.097087
0.503,2.046000,2.998000,-0.017453,0.107843
0.606,2.059000,2.997000,-0.017453,0.126364
0.698,2.074000,2.997000,-0.017453,0.163019
0.801,2.091000,2.997000,-0.034907,0.165023
0.904,2.112000,2.997000,-0.034907,0.203759
1.006,2.133000,2.996000,-0.034907,0.206099
1.099,2.156000,2.994000,-0.034907,0.247912
1.201,2.182000,2.993000,-0.034907,0.255089
1.305,2.208000,2.992000,-0.034907,0.250183
1.398,2.238000,2.990000,-0.034907,0.323135
1.501,2.268000,2.989000,-0.034907,0.291424
1.604,2.301000,2.988000,-0.017453,0.320532
1.706,2.341000,2.987000,-0.017453,0.392268
1.799,2.378000,2.987000,-0.017453,0.397789
1.902,2.416000,2.986000,0.000000,0.369045
2.005,2.457000,2.985000,0.000000,0.398058
2.108,2.493000,2.986000,0.000000,0.349515
2.200,2.524000,2.988000,0.000000,0.336957
2.303,2.555000,2.988000,0.000000,0.300971
2.406,2.587000,2.989000,0.017453,0.310680
2.509,2.616000,2.989000,0.017453,0.281511
2.611,2.643000,2.991000,0.034907,0.265008
2.703,2.667000,2.992000,0.034907,0.261090
2.807,2.682000,2.988000,0.052360,0.142801
2.910,2.697000,2.988000,0.052360,0.145431
3.002,2.721000,2.990000,0.069813,0.261650
3.105,2.739000,2.991000,0.087266,0.175009
3.207,2.754000,2.993000,0.087266,0.148208
3.311,2.776000,2.999000,0.104720,0.215762
3.404,2.790000,3.001000,0.104720,0.151961
3.508,2.805000,3.002000,0.122173,0.144446
3.609,2.818000,3.003000,0.122173,0.128960
3.713,2.833000,3.006000,0.139626,0.146671
3.805,2.842000,3.008000,0.139626,0.099900
3.907,2.854000,3.008000,0.139626,0.116502
4.011,2.864000,3.010000,0.157080,0.097894
4.103,2.875000,3.012000,0.157080,0.121494
4.206,2.889000,3.014000,0.174533,0.137286
4.309,2.903000,3.016000,0.174533,0.137229
4.412,2.914000,3.018000,0.191986,0.108545
4.504,2.922000,3.020000,0.191986,0.089507
4.607,2.930000,3.022000,0.209440,0.079948
4.709,2.936000,3.023000,0.209440,0.059576
4.813,2.944000,3.025000,0.209440,0.079240
4.905,2.952000,3.026000,0.226893,0.087316
5.008,2.956000,3.027000,0.226893,0.040024
5.111,2.967000,3.025000,0.226893,0.099691
5.213,2.974000,3.027000,0.244346,0.071279
5.306,2.983000,3.030000,0.244346,0.101704
5.409,2.992000,3.032000,0.261799,0.089481
5.512,3.005000,3.036000,0.279253,0.131964
5.615,3.013000,3.038000,0.279253,0.080013
5.707,3.017000,3.041000,0.279253,0.050782
5.810,3.026000,3.043000,0.296706,0.089346
5.913,3.034000,3.046000,0.296706,0.082792
6.006,3.045000,3.049000,0.314159,0.122543
6.109,3.051000,3.051000,0.314159,0.061402
6.211,3.055000,3.053000,0.331613,0.043355
6.314,3.062000,3.056000,0.331613,0.073741
6.417,3.069000,3.059000,0.349066,0.073741
6.509,3.077000,3.062000,0.349066,0.092865
6.612,3.088000,3.066000,0.366519,0.113638
6.714,3.094000,3.069000,0.366519,0.065457
6.807,3.103000,3.072000,0.383972,0.101907
6.910,3.112000,3.075000,0.383972,0.091927
7.013,3.123000,3.081000,0.401426,0.120841
7.116,3.130000,3.084000,0.401426,0.073939
7.209,3.138000,3.087000,0.418879,0.091787
7.311,3.149000,3.091000,0.418879,0.114470
7.415,3.161000,3.099000,0.436332,0.136697
7.517,3.169000,3.102000,0.436332,0.083513
7.610,3.172000,3.104000,0.436332,0.038324
7.712,3.175000,3.105000,0.436332,0.030799
7.816,3.179000,3.108000,0.436332,0.047049
7.908,3.186000,3.111000,0.436332,0.082739
8.011,3.194000,3.116000,0.453786,0.090908
8.115,3.205000,3.120000,0.453786,0.111925
8.217,3.217000,3.127000,0.471239,0.135825
8.310,3.231000,3.133000,0.471239,0.163420
8.412,3.241000,3.139000,0.488692,0.114059
8.515,3.251000,3.146000,0.488692,0.117629
8.608,3.263000,3.152000,0.506145,0.144217
8.710,3.272000,3.157000,0.506145,0.100938
8.813,3.281000,3.162000,0.523599,0.099958
8.916,3.292000,3.171000,0.523599,0.136177
9.009,3.305000,3.179000,0.541052,0.164068
9.111,3.318000,3.188000,0.541052,0.154691
9.214,3.334000,3.197000,0.558505,0.178156
9.317,3.351000,3.209000,0.558505,0.201707
9.419,3.370000,3.221000,0.575959,0.220313
9.512,3.389000,3.239000,0.593412,0.276755
9.615,3.412000,3.254000,0.593412,0.266561
9.717,3.435000,3.270000,0.593412,0.274656
9.811,3.459000,3.288000,0.610865,0.318749
9.913,3.486000,3.306000,0.610865,0.318054
10.016,3.513000,3.326000,0.628319,0.326103
10.119,3.550000,3.334000,0.628319,0.336271
10.211,3.579000,3.356000,0.628319,0.395574
10.314,3.610000,3.379000,0.628319,0.374744
10.416,3.643000,3.403000,0.628319,0.400043
10.510,3.677000,3.428000,0.610865,0.448949
10.611,3.714000,3.454000,0.610865,0.447739
10.714,3.739000,3.504000,0.610865,0.477258
10.819,3.779000,3.532000,0.593412,0.465012
10.912,3.821000,3.561000,0.593412,0.548776
11.015,3.861000,3.587000,0.575959,0.463112
11.118,3.903000,3.616000,0.575959,0.495327
11.209,3.951000,3.620000,0.558505,0.466316
11.312,3.987000,3.643000,0.558505,0.414737
11.415,4.025000,3.667000,0.541052,0.436348
11.518,4.059000,3.688000,0.541052,0.387956
11.610,4.092000,3.707000,0.523599,0.413829
11.713,4.138000,3.767000,0.523599,0.678031
11.819,4.172000,3.787000,0.506145,0.372121
11.912,4.203000,3.805000,0.506145,0.385374
12.016,4.231000,3.820000,0.488692,0.305399
12.118,4.254000,3.833000,0.488692,0.258931
12.210,4.274000,3.843000,0.471239,0.242975
12.313,4.256000,3.822000,0.471239,-0.248271
12.416,4.274000,3.831000,0.453786,0.195379
12.519,4.292000,3.839000,0.453786,0.191119
12.611,4.308000,3.847000,0.436332,0.194431
12.714,4.325000,3.855000,0.436332,0.182409
12.816,4.342000,3.863000,0.418879,0.184198
12.919,4.356000,3.886000,0.418879,0.214996
13.012,4.367000,3.891000,0.418879,0.129921
13.114,4.379000,3.896000,0.401426,0.127414
13.217,4.393000,3.902000,0.401426,0.147878
13.320,4.403000,3.907000,0.383972,0.108337
13.413,4.415000,3.911000,0.383972,0.135749
13.516,4.422000,3.890000,0.383972,-0.013364
13.618,4.436000,3.896000,0.366519,0.149296
13.711,4.447000,3.900000,0.366519,0.125837
13.813,4.458000,3.905000,0.349066,0.118247
13.917,4.471000,3.909000,0.349066,0.130616
14.021,4.481000,3.913000,0.331613,0.103510
14.113,4.505000,3.950000,0.331613,0.377592
14.216,4.516000,3.953000,0.331613,0.110460
14.318,4.524000,3.956000,0.314159,0.083734
14.421,4.533000,3.959000,0.314159,0.092103
14.514,4.544000,3.963000,0.296706,0.125782
14.617,4.556000,3.966000,0.296706,0.119930
14.719,4.586000,3.960000,0.279253,0.264068
14.822,4.596000,3.963000,0.261799,0.101355
14.914,4.608000,3.966000,0.261799,0.134430
15.017,4.622000,3.970000,0.244346,0.141342
15.119,4.631000,3.973000,0.244346,0.092730
15.222,4.643000,3.975000,0.226893,0.117742
15.314,4.643000,3.962000,0.244346,-0.031787
15.417,4.657000,3.965000,0.226893,0.138931
15.520,4.669000,3.967000,0.226893,0.117887
15.612,4.681000,3.970000,0.209440,0.134427
15.715,4.693000,3.972000,0.209440,0.117996
15.817,4.703000,4.015000,0.174533,0.183546
15.921,4.713000,4.017000,0.174533,0.098032
16.013,4.725000,4.019000,0.174533,0.132228
16.116,4.733000,4.020000,0.157080,0.078176
16.220,4.737000,4.022000,0.157080,0.040996
16.322,4.743000,4.023000,0.139626,0.059633
16.415,4.778000,4.017000,0.139626,0.363703
16.517,4.788000,4.017000,0.122173,0.097085
16.620,4.794000,4.018000,0.122173,0.059001
16.713,4.800000,4.019000,0.104720,0.065346
16.815,4.808000,4.020000,0.104720,0.079027
