t,x,y,yaw,vx
0.000,2.037000,3.035000,0.000000,
0.101,2.042000,3.036000,0.000000,0.049505
0.204,2.050000,3.036000,0.000000,0.077670
0.294,2.061000,3.035000,0.000000,0.122222
0.396,2.074000,3.036000,0.000000,0.127451
0.498,2.091000,3.036000,0.000000,0.166667
0.600,2.111000,3.035000,0.000000,0.196078
0.702,2.135000,3.036000,0.000000,0.235294
0.803,2.161000,3.035000,0.000000,0.257426
0.895,2.189000,3.036000,0.000000,0.304348
0.996,2.221000,3.036000,0.000000,0.316832
1.098,2.257000,3.036000,0.000000,0.352941
1.200,2.291000,3.037000,0.000000,0.333333
1.302,2.331000,3.038000,0.000000,0.392157
1.403,2.371000,3.037000,0.000000,0.396040
1.495,2.410000,3.037000,0.000000,0.423913
1.596,2.451000,3.038000,0.000000,0.405941
1.698,2.490000,3.038000,0.000000,0.382353
1.799,2.530000,3.037000,0.000000,0.396040
1.902,2.570000,3.037000,0.000000,0.388350
2.004,2.609000,3.037000,0.000000,0.382353
2.105,2.649000,3.037000,0.000000,0.396040
2.197,2.688000,3.038000,0.000000,0.423913
2.298,2.729000,3.038000,0.000000,0.405941
2.400,2.765000,3.038000,0.000000,0.352941
2.502,2.806000,3.038000,0.000000,0.401961
2.603,2.845000,3.038000,0.000000,0.386139
2.705,2.885000,3.039000,0.000000,0.392157
2.796,2.924000,3.038000,0.000000,0.428571
2.898,2.965000,3.038000,0.000000,0.401961
3.000,3.001000,3.037000,0.000000,0.352941
3.102,3.042000,3.037000,0.000000,0.401961
3.203,3.081000,3.038000,0.000000,0.386139
3.305,3.121000,3.038000,0.000000,0.392157
3.397,3.160000,3.038000,0.000000,0.423913
3.498,3.201000,3.038000,0.000000,0.405941
3.601,3.198000,3.039000,0.000000,-0.029126
3.702,3.238000,3.039000,0.000000,0.396040
3.804,3.278000,3.039000,0.000000,0.392157
3.905,3.318000,3.040000,0.000000,0.396040
3.997,3.358000,3.040000,0.000000,0.434783
4.099,3.397000,3.039000,0.000000,0.382353
4.201,3.439000,3.039000,0.000000,0.411765
4.302,3.479000,3.039000,0.000000,0.396040
4.404,3.519000,3.039000,0.000000,0.392157
4.506,3.558000,3.040000,0.000000,0.382353
4.598,3.598000,3.039000,0.000000,0.434783
4.700,3.638000,3.039000,0.000000,0.392157
4.801,3.683000,3.038000,0.000000,0.445545
4.903,3.722000,3.039000,0.000000,0.382353
5.005,3.762000,3.039000,0.000000,0.392157
5.107,3.802000,3.039000,0.000000,0.392157
5.199,3.842000,3.039000,0.000000,0.434783
5.300,3.882000,3.039000,0.000000,0.396040
5.402,3.921000,3.041000,0.000000,0.382353
5.504,3.961000,3.042000,0.000000,0.392157
5.605,4.001000,3.042000,0.000000,0.396040
5.707,4.041000,3.042000,0.000000,0.392157
5.799,4.080000,3.043000,0.000000,0.423913
5.901,4.120000,3.042000,0.000000,0.392157
6.002,4.161000,3.041000,0.000000,0.405941
6.104,4.202000,3.041000,0.000000,0.401961
6.206,4.241000,3.041000,0.000000,0.382353
6.308,4.281000,3.042000,0.000000,0.392157
6.399,4.321000,3.042000,0.000000,0.439560
6.501,4.361000,3.041000,0.000000,0.392157
6.603,4.407000,3.041000,0.000000,0.450980
6.704,4.447000,3.041000,0.000000,0.396040
6.807,4.486000,3.041000,0.000000,0.378641
6.898,4.527000,3.041000,0.000000,0.450549
7.000,4.566000,3.041000,0.000000,0.382353
7.101,4.606000,3.042000,0.000000,0.396040
7.203,4.649000,3.038000,0.000000,0.421569
7.304,4.690000,3.038000,0.000000,0.405941
7.406,4.729000,3.039000,0.000000,0.382353
7.508,4.769000,3.039000,0.000000,0.392157
7.599,4.810000,3.039000,0.000000,0.450549
7.701,4.849000,3.039000,0.000000,0.382353
7.803,4.903000,3.041000,0.000000,0.529412
