iter,max_vel_x,acc_lim_x,max_vel_theta,acc_lim_theta,J
1,0.160000,0.050000,0.200000,0.100000,4.123
2,0.174908,0.475850,0.758795,0.618726,4.263
3,0.131204,0.086437,0.152275,0.872867,5.513
4,0.174706,0.462440,0.778450,0.605186,4.253
5,0.179571,0.294323,1.000000,0.495428,3.437
6,0.100000,0.500000,0.810743,0.349973,8.942
7,0.225246,0.356269,0.880236,0.689711,7.997
8,0.287191,0.309364,0.918054,0.824965,10.664
9,0.285705,0.482631,0.919742,0.701936,11.046
10,0.300000,0.500000,1.000000,1.000000,11.501
11,0.300000,0.010000,1.000000,1.000000,18.815
12,0.100000,0.367710,1.000000,1.000000,9.145
13,0.300000,0.500000,0.795992,0.966593,11.501
14,0.160000,0.050000,0.200000,0.150000,2.517
