t,x,y,yaw,vx
0.000000,0.002252,-0.000000,-0.000002,0.000078
0.037500,0.002250,-0.000000,-0.000001,-0.000314
0.150000,0.000016,0.000070,0.001615,0.031005
0.250000,0.006644,0.000483,0.010206,0.089810
0.387500,0.022314,0.002021,0.036790,0.117383
0.475000,0.034278,0.003083,0.048953,0.108031
0.587500,0.044719,0.004335,0.063645,0.110812
0.687500,0.053897,0.005604,0.077309,0.123313
0.800000,0.068388,0.007512,0.092450,0.114116
0.925000,0.084433,0.009886,0.108977,0.102061
1.025000,0.094014,0.011623,0.122383,0.096559
1.150000,0.104718,0.013335,0.129808,0.118346
1.250000,0.118450,0.015269,0.132494,0.113725
1.350000,0.129934,0.016925,0.134875,0.097154
1.450000,0.139232,0.018315,0.137363,0.088965
1.550000,0.145596,0.019232,0.138083,0.115798
1.675000,0.160484,0.021301,0.138079,0.118653
1.787500,0.175084,0.023330,0.138079,0.109388
1.900000,0.188015,0.025124,0.138034,0.098158
2.025000,0.198030,0.026570,0.139062,0.127580
2.125000,0.211766,0.028492,0.139057,0.121195
2.225000,0.225233,0.030375,0.139027,0.105019
2.337500,0.236236,0.031914,0.139013,0.090307
2.437500,0.243329,0.032845,0.137732,0.117438
2.550000,0.258070,0.034738,0.134896,0.123990
2.675000,0.274985,0.036836,0.131269,0.107818
2.787500,0.286351,0.038176,0.128229,0.101256
2.900000,0.295364,0.039184,0.125200,0.113505
3.000000,0.306427,0.040479,0.123363,0.124857
3.100000,0.319505,0.042276,0.126933,0.118920
3.200000,0.333007,0.044640,0.139145,0.108379
3.300000,0.342563,0.046661,0.152408,0.096369
3.425000,0.352141,0.048652,0.162322,0.116058
3.537500,0.365223,0.050949,0.165292,0.116130
3.650000,0.379689,0.053522,0.168290,0.106894
3.750000,0.390233,0.055435,0.170637,0.095344
3.850000,0.397236,0.056680,0.171361,0.120429
3.975000,0.412750,0.059365,0.171352,0.114579
4.075000,0.426108,0.061676,0.171351,0.109977
4.187500,0.437475,0.063639,0.171293,0.093108
4.300000,0.447427,0.065381,0.171720,0.106050
4.425000,0.458610,0.067833,0.181929,0.122999
4.537500,0.472409,0.071164,0.197075,0.118509
4.637500,0.485846,0.074566,0.210601,0.113949
4.750000,0.496633,0.077631,0.225067,0.117054
4.850000,0.504834,0.079774,0.230089,0.117190
4.975000,0.520195,0.083277,0.228258,0.112018
5.087500,0.535230,0.086594,0.225020,0.096584
5.187500,0.543471,0.088342,0.222344,0.111584
5.325000,0.559493,0.091277,0.209680,0.123329
5.425000,0.574126,0.094212,0.206449,0.112901
5.525000,0.584417,0.096218,0.203646,0.101438
5.637500,0.594157,0.098122,0.201641,0.109410
5.750000,0.605300,0.100401,0.201663,0.120814
5.850000,0.618840,0.103169,0.201663,0.116318
5.975000,0.633284,0.106119,0.201618,0.103846
6.087500,0.644047,0.108319,0.201619,0.108306
6.200000,0.653928,0.110339,0.201621,0.124936
6.300000,0.667483,0.113110,0.201622,0.116329
6.425000,0.682601,0.116198,0.201580,0.098726
6.525000,0.690768,0.117819,0.200610,0.116947
6.637500,0.703674,0.120375,0.199426,0.126355
6.750000,0.719374,0.123426,0.197116,0.118867
6.850000,0.730981,0.125593,0.194255,0.102351
6.987500,0.742887,0.127742,0.190595,0.110759
7.087500,0.754698,0.129892,0.188129,0.124353
7.200000,0.770752,0.132903,0.187434,0.125237
7.300000,0.782168,0.135443,0.194815,0.109542
7.425000,0.793682,0.138550,0.210531,0.116852
7.537500,0.803999,0.141037,0.215798,0.122564
7.650000,0.818163,0.144300,0.218764,0.113285
7.750000,0.831484,0.147449,0.222339,0.122933
7.887500,0.847101,0.152015,0.241447,0.111416
7.987500,0.856128,0.155235,0.260370,0.118805
8.100000,0.866623,0.158822,0.275575,0.114209
8.200000,0.878073,0.162769,0.289098,0.118742
8.325000,0.894111,0.168483,0.305998,0.114235
8.437500,0.904252,0.172068,0.312933,0.116294
8.550000,0.917103,0.176228,0.312960,0.120686
8.675000,0.933381,0.181213,0.307529,0.100627
8.775000,0.942221,0.183316,0.294180,0.110381
8.887500,0.953088,0.185804,0.279163,0.122187
9.000000,0.968449,0.189360,0.263774,0.117622
9.100000,0.980528,0.191884,0.250036,0.101649
9.225000,0.992678,0.194066,0.232997,0.093757
9.337500,1.002104,0.195806,0.223728,0.129125
9.475000,1.020860,0.200042,0.223240,0.116640
9.575000,1.032918,0.202599,0.219682,0.102066
9.675000,1.041543,0.203912,0.207645,0.111010
9.775000,1.051662,0.205710,0.201399,0.128036
9.887500,1.067537,0.208944,0.201306,0.117394
10.000000,1.080962,0.211684,0.201306,0.105266
10.125000,1.091454,0.213794,0.200637,0.110368
10.237500,1.103541,0.216108,0.197903,0.128727
10.350000,1.120061,0.219247,0.194773,0.119505
10.450000,1.131164,0.221281,0.191827,0.100976
10.550000,1.140955,0.223186,0.191980,0.102209
10.675000,1.150528,0.225658,0.204233,0.114932
10.787500,1.163833,0.229217,0.219498,0.123961
10.900000,1.178464,0.233282,0.234356,0.115591
11.000000,1.190450,0.236390,0.238798,0.094979
11.137500,1.200620,0.239068,0.242733,0.111885
11.250000,1.212499,0.242812,0.258340,0.123067
11.337500,1.222680,0.246123,0.270452,0.123049
11.450000,1.236909,0.250875,0.285292,0.105346
11.575000,1.247710,0.254255,0.289100,0.110968
11.687500,1.261784,0.258330,0.287002,0.123695
11.800000,1.277305,0.262727,0.283706,0.104430
11.900000,1.287440,0.265535,0.280980,0.101291
12.037500,1.298055,0.268406,0.277398,0.132230
12.137500,1.311744,0.272162,0.274764,0.124168
12.250000,1.327100,0.276306,0.271429,0.106359
12.375000,1.339538,0.279583,0.268080,0.102194
12.475000,1.347788,0.281365,0.258442,0.120832
12.587500,1.361245,0.284132,0.243480,0.120772
12.700000,1.376240,0.287134,0.230326,0.111690
12.837500,1.391374,0.290428,0.225758,0.094613
12.925000,1.397541,0.291634,0.221644,0.131986
13.037500,1.413242,0.295179,0.221786,0.121947
13.150000,1.426981,0.298380,0.223637,0.109106
13.275000,1.439755,0.301285,0.223635,0.099928
13.375000,1.448454,0.303296,0.224322,0.116840
13.487500,1.460184,0.306463,0.233997,0.123207
13.625000,1.477048,0.311496,0.252504,0.123413
13.725000,1.490162,0.315611,0.266032,0.114175
13.825000,1.501466,0.319779,0.286384,0.104665
13.937500,1.512252,0.324442,0.313845,0.118980
14.037500,1.521313,0.328680,0.338338,0.114586
14.150000,1.531963,0.333743,0.362697,0.125802
14.275000,1.547342,0.340551,0.379820,0.119212
14.387500,1.561233,0.346737,0.390608,0.123526
14.500000,1.572702,0.351626,0.393534,0.119815
14.600000,1.582943,0.355949,0.394733,0.109400
14.725000,1.596138,0.361545,0.396427,0.119966
14.837500,1.607336,0.366828,0.407398,0.119990
14.937500,1.617088,0.372170,0.428056,0.121470
15.050000,1.628202,0.378223,0.445409,0.116401
15.175000,1.641956,0.385782,0.462319,0.107219
15.300000,1.652727,0.391704,0.471641,0.116405
15.400000,1.662133,0.396458,0.470819,0.126983
15.500000,1.673829,0.402267,0.468283,0.123321
15.625000,1.689610,0.410043,0.464889,0.118615
15.737500,1.700737,0.415437,0.461667,0.100203
15.850000,1.709935,0.419853,0.458873,0.129097
15.950000,1.723085,0.426192,0.456177,0.119547
16.075000,1.738060,0.433498,0.455645,0.114939
16.187500,1.748982,0.439010,0.458365,0.101117
16.287500,1.757102,0.443112,0.459980,0.117862
16.400000,1.767643,0.448336,0.460014,0.120324
16.500000,1.780028,0.454472,0.460009,0.115714
16.625000,1.792990,0.460894,0.460011,0.098607
16.737500,1.800678,0.465003,0.465646,0.107083
16.837500,1.811158,0.471005,0.478725,0.112081
16.975000,1.825095,0.478791,0.487656,0.117672
17.087500,1.838757,0.486218,0.490656,0.108392
17.175000,1.846859,0.490662,0.492671,0.096321
17.287500,1.854157,0.495161,0.503312,0.112483
17.400000,1.865378,0.502220,0.518506,0.116682
17.525000,1.877502,0.510133,0.535350,0.121500
17.625000,1.888068,0.517195,0.548837,0.118371
17.737500,1.900856,0.525836,0.561828,0.113637
17.850000,1.909786,0.531709,0.566056,0.112188
17.950000,1.917038,0.536993,0.577592,0.119261
18.050000,1.928166,0.545079,0.591115,0.119387
18.175000,1.941070,0.554823,0.607779,0.116123
18.275000,1.949598,0.561220,0.614958,0.120342
18.387500,1.959617,0.568303,0.615042,0.112800
18.487500,1.969615,0.575366,0.615040,0.108219
18.625000,1.982129,0.584157,0.614348,0.090558
18.725000,1.989652,0.589403,0.613381,0.086078
18.825000,1.996510,0.594091,0.611094,0.087639
18.937500,2.004285,0.599461,0.609883,0.072710
19.037500,2.009908,0.603173,0.606162,0.050727
19.150000,2.012127,0.603718,0.588530,0.003780
19.275000,2.013371,0.602601,0.553092,0.002157
19.375000,2.014242,0.601686,0.525970,0.001344
19.500000,2.014919,0.600479,0.495483,0.001465
19.600000,2.015551,0.599564,0.471068,0.001890
19.700000,2.015842,0.598483,0.446628,0.006402
19.825000,2.016021,0.597151,0.417604,0.006762
19.937500,2.016169,0.596480,0.402128,0.006354
20.050000,2.017604,0.596880,0.397782,0.008260
20.150000,2.019131,0.597523,0.397797,0.007870
20.287500,2.020907,0.598004,0.392343,0.009520
20.400000,2.022713,0.598037,0.377754,0.009485
20.487500,2.024265,0.598074,0.365906,0.009634
20.600000,2.025798,0.597965,0.351624,0.026124
20.725000,2.026154,0.597844,0.346323,0.015069
20.837500,2.029107,0.598779,0.343604,0.023386
20.937500,2.032262,0.599907,0.343585,0.021548
21.050000,2.036093,0.601591,0.350005,0.081906
21.187500,2.046877,0.606494,0.368224,0.078817
21.287500,2.055554,0.610561,0.381743,0.074291
21.387500,2.062937,0.613952,0.389586,0.083274
21.500000,2.071466,0.617640,0.393049,0.098868
21.625000,2.081580,0.622671,0.408556,0.117079
