t,x,y,yaw,vx
0.000000,0.002252,-0.000000,-0.000002,-0.000437
0.050000,0.002253,0.000000,-0.000001,0.000071
0.150000,0.013518,-0.000178,-0.001519,0.341900
0.262500,0.057987,-0.000488,-0.004927,0.375346
0.362500,0.097799,-0.000879,-0.007806,0.363465
0.487500,0.141478,-0.001463,-0.011201,0.391796
0.600000,0.186865,-0.002188,-0.014292,0.390100
0.712500,0.229211,-0.003026,-0.017682,0.382818
0.837500,0.273859,-0.003923,-0.019482,0.371857
0.950000,0.319862,-0.004895,-0.020139,0.372571
1.037500,0.353566,-0.005436,-0.018073,0.363425
1.150000,0.392491,-0.005924,-0.014876,0.370057
1.262500,0.435802,-0.006357,-0.011833,0.384276
1.387500,0.484753,-0.006694,-0.008496,0.384215
1.487500,0.521875,-0.006842,-0.006018,0.377799
1.600000,0.563332,-0.006869,-0.002817,0.369703
1.737500,0.616968,-0.006742,0.000860,0.369678
1.837500,0.655109,-0.006527,0.003536,0.384126
1.950000,0.695117,-0.006197,0.006320,0.363255
2.062500,0.735084,-0.005730,0.009520,0.384014
2.162500,0.774728,-0.005168,0.012230,0.384554
2.287500,0.823582,-0.004381,0.014576,0.385413
2.387500,0.861682,-0.003827,0.014562,0.366583
2.512500,0.905240,-0.003195,0.014528,0.367928
2.637500,0.953646,-0.002492,0.014523,0.373094
2.737500,0.993799,-0.001909,0.014521,0.373061
2.850000,1.033319,-0.001339,0.014466,0.380465
2.962500,1.074461,-0.000743,0.014477,0.387373
3.062500,1.114709,-0.000161,0.014470,0.372776
3.187500,1.163037,0.000535,0.014417,0.365583
3.300000,1.202499,0.001106,0.014444,0.372735
3.437500,1.256618,0.001887,0.014440,0.372705
3.512500,1.286233,0.002314,0.014442,0.387137
3.637500,1.333041,0.002987,0.014400,0.381013
3.750000,1.372708,0.003559,0.014410,0.377946
3.862500,1.418244,0.004214,0.014405,0.372998
3.987500,1.464734,0.004881,0.014368,0.367743
4.100000,1.505109,0.005461,0.014364,0.367831
4.237500,1.558114,0.006221,0.014355,0.373021
4.312500,1.587967,0.006649,0.014354,0.387471
4.437500,1.635310,0.007326,0.014307,0.380501
4.550000,1.675049,0.007895,0.014334,0.387382
4.662500,1.719860,0.008537,0.014321,0.387138
4.787500,1.769461,0.009246,0.014309,0.384079
4.887500,1.807093,0.009783,0.014279,0.366624
5.012500,1.851621,0.010418,0.014279,0.366631
5.137500,1.898874,0.011093,0.014279,0.373234
5.237500,1.937000,0.011633,0.014198,0.380096
5.350000,1.977139,0.012205,0.014226,0.387115
5.450000,2.017055,0.012773,0.014226,0.387053
5.562500,2.061194,0.013400,0.014226,0.372708
5.687500,2.109702,0.014088,0.014178,0.366341
5.800000,2.149734,0.014655,0.014184,0.366630
5.937500,2.201266,0.015387,0.014200,0.372771
6.037500,2.241475,0.015959,0.014203,0.387160
6.150000,2.281859,0.016530,0.014171,0.381146
6.262500,2.321963,0.017099,0.014199,0.386642
6.362500,2.361250,0.017656,0.014189,0.372637
6.487500,2.411329,0.018366,0.014187,0.372602
6.600000,2.454113,0.018970,0.014135,0.365688
6.737500,2.503291,0.019666,0.014148,0.373015
6.837500,2.543690,0.020237,0.014145,0.372988
6.950000,2.584046,0.020805,0.014111,0.380911
7.062500,2.624524,0.021293,0.012649,0.382621
7.162500,2.662638,0.021601,0.010054,0.390322
7.287500,2.712801,0.021862,0.006702,0.375513
7.412500,2.762243,0.021493,-0.004119,0.374904
7.537500,2.811472,0.020477,-0.014175,0.363315
7.637500,2.846380,0.019795,-0.016974,0.368484
7.750000,2.888491,0.018881,-0.019852,0.390715
7.862500,2.934048,0.017746,-0.023191,0.381897
7.987500,2.977858,0.016492,-0.026549,0.391213
8.100000,3.023262,0.015077,-0.029523,0.390169
8.212500,3.068039,0.013538,-0.032560,0.375960
8.337500,3.112848,0.011815,-0.036237,0.368519
8.450000,3.156131,0.010040,-0.039192,0.375338
8.550000,3.195409,0.008315,-0.041918,0.390028
8.662500,3.240417,0.006208,-0.044980,0.389943
8.787500,3.286320,0.003943,-0.047525,0.381194
8.900000,3.326379,0.002191,-0.045103,0.379397
9.012500,3.370008,0.000445,-0.041940,0.384712
9.137500,3.419353,-0.001381,-0.038602,0.370247
9.250000,3.460704,-0.002785,-0.035842,0.377134
9.350000,3.494804,-0.003830,-0.033114,0.364046
9.462500,3.537625,-0.005025,-0.029897,0.384443
9.562500,3.575984,-0.005994,-0.027216,0.384414
9.687500,3.625081,-0.007089,-0.023864,0.384395
9.800000,3.669108,-0.008026,-0.022516,0.385931
9.912500,3.712335,-0.009000,-0.022519,0.371587
10.050000,3.761301,-0.010105,-0.022548,0.365810
10.150000,3.798932,-0.010952,-0.022524,0.372577
10.262500,3.842734,-0.011939,-0.022524,0.387109
10.387500,3.889645,-0.013001,-0.022600,0.380372
10.500000,3.929593,-0.013904,-0.022600,0.387014
10.612500,3.974273,-0.014914,-0.022601,0.387137
10.712500,4.013494,-0.015800,-0.022592,0.372561
10.850000,4.065577,-0.016983,-0.022677,0.380085
10.962500,4.106054,-0.017901,-0.022668,0.372998
11.062500,4.144969,-0.018783,-0.022666,0.387448
11.187500,4.194969,-0.019920,-0.022743,0.358676
11.300000,4.233496,-0.020789,-0.022657,0.375661
11.412500,4.274920,-0.021734,-0.022791,0.391935
11.537500,4.325375,-0.023125,-0.026136,0.390518
11.662500,4.373660,-0.024649,-0.029815,0.382276
11.762500,4.410082,-0.025912,-0.032425,0.376205
11.862500,4.450592,-0.027418,-0.035232,0.375739
11.987500,4.494813,-0.029240,-0.038937,0.368259
12.100000,4.538210,-0.031129,-0.041801,0.390525
12.212500,4.583629,-0.033245,-0.044870,0.390219
12.337500,4.631449,-0.035673,-0.048813,0.348113
12.450000,4.669716,-0.037762,-0.052085,0.327666
12.562500,4.704042,-0.039677,-0.054117,0.290438
12.662500,4.732201,-0.041395,-0.057203,0.266001
12.787500,4.764706,-0.043484,-0.060768,0.246251
12.900000,4.790213,-0.045237,-0.064072,0.225641
13.000000,4.811689,-0.046783,-0.066944,0.206256
13.112500,4.833376,-0.048427,-0.070215,0.185196
13.237500,4.849285,-0.049634,-0.072499,0.013187
13.362500,4.849188,-0.049627,-0.072498,-0.000203
13.462500,4.849127,-0.049622,-0.072497,-0.000033
13.562500,4.849167,-0.049625,-0.072498,0.000123
13.662500,4.849321,-0.049636,-0.072496,0.000036
13.787500,4.849363,-0.049639,-0.072499,0.000027
