iter,max_vel_x,acc_lim_x,J
1,0.309763,2.715189,0.664970
2,0.320553,2.544883,1.201140
3,0.284731,2.645894,1.422560
4,0.305779,2.001556,0.763720
5,0.271986,2.349634,2.082010
6,0.215634,2.815371,5.109410
7,0.308849,2.879526,0.838770
8,0.330577,2.683265,1.672040
9,0.314852,2.710316,0.838230
10,0.358781,2.793809,2.491730
11,0.345847,2.199189,1.939780
12,0.290936,2.389151,1.422650
13,0.333962,2.938611,1.461730
14,0.240521,2.000000,3.791880
15,0.354014,2.002615,2.149120
16,0.267533,2.703462,2.347970
17,0.321378,2.744055,0.936000
18,0.246333,2.990897,3.435420
