iteration,x,y,target
0,2.8340440094051482,1.3219469606529488,-7.135455292718879
1,2.0002287496346898,-1.1860045642089614,-7.779531005607566
2,2.8375977943744273,1.323849883103989,-7.15683998942508
3,2.7410996186936036,1.2721786316924986,-6.58770832715222
4,2.6188036061247573,1.159212069073195,-5.8834808103906004
5,2.3207472440991688,1.0873983078515097,-4.393506235209194
6,2.0,0.798975604571876,-3.040410807557243
7,2.0,0.2324216350079997,-3.5891765464037926
8,2.0,3.0,-7.0
9,4.0,-3.0,-31.0
10,2.0,1.4921386901446463,-3.2422004903372885
11,2.0,1.1121077997320907,-3.0125681587607707
