t,x,y,yaw
0.000000,0.002253,-0.000000,-0.000002
0.025000,0.002252,-0.000000,-0.000002
0.125000,0.000763,-0.000062,-0.001396
0.212500,0.002768,-0.000146,-0.003173
0.300000,0.008753,-0.000220,-0.004324
0.362500,0.014512,-0.000302,-0.005552
0.462500,0.026365,-0.000488,-0.007942
0.562500,0.041787,-0.000742,-0.010410
0.650000,0.058545,-0.001035,-0.012623
0.750000,0.080489,-0.001458,-0.015172
0.850000,0.105813,-0.001990,-0.017686
0.925000,0.126891,-0.002470,-0.019563
1.012500,0.153687,-0.002995,-0.019567
1.112500,0.187453,-0.003654,-0.019543
1.212500,0.224398,-0.004375,-0.019518
1.300000,0.259453,-0.005061,-0.019532
1.400000,0.302303,-0.005898,-0.019521
1.500000,0.348021,-0.006605,-0.016824
1.600000,0.396666,-0.007212,-0.013926
1.712500,0.454319,-0.007779,-0.010891
1.812500,0.502589,-0.008125,-0.008462
1.900000,0.541842,-0.008290,-0.006014
2.000000,0.591988,-0.008381,-0.003188
2.100000,0.642123,-0.008342,-0.000506
2.200000,0.692557,-0.008166,0.002166
2.300000,0.742400,-0.007857,0.004848
2.400000,0.792358,-0.007412,0.007523
2.512500,0.845932,-0.006788,0.010436
2.600000,0.887533,-0.006222,0.012133
2.675000,0.923990,-0.005779,0.012140
2.800000,0.987178,-0.005013,0.012135
2.875000,1.025364,-0.004549,0.012135
2.975000,1.075123,-0.003949,0.012099
3.075000,1.121299,-0.003390,0.012092
3.175000,1.168305,-0.002821,0.012104
3.275000,1.218786,-0.002211,0.012096
3.400000,1.282411,-0.001442,0.012095
3.475000,1.320215,-0.000986,0.012085
3.575000,1.366846,-0.000425,0.012057
3.675000,1.413637,0.000141,0.012087
3.775000,1.464310,0.000753,0.012090
3.875000,1.514744,0.001363,0.012090
3.975000,1.564940,0.001969,0.012086
4.075000,1.614719,0.002570,0.012087
4.200000,1.677938,0.003335,0.012083
4.300000,1.725309,0.003903,0.012043
4.362500,1.755359,0.004265,0.012042
4.462500,1.804223,0.004853,0.012041
4.562500,1.853378,0.005445,0.012036
4.662500,1.902262,0.006032,0.012031
4.762500,1.949450,0.006600,0.012031
4.862500,1.997131,0.007173,0.012032
4.962500,2.043853,0.007735,0.012027
5.075000,2.096806,0.008372,0.012026
5.150000,2.132354,0.008799,0.012025
5.250000,2.180677,0.009379,0.012013
5.350000,2.228999,0.009960,0.012015
5.450000,2.279660,0.010568,0.012016
5.525000,2.317256,0.011020,0.012014
5.612500,2.361228,0.011548,0.012016
5.712500,2.411555,0.012152,0.012014
5.800000,2.455252,0.012677,0.012014
5.912500,2.510210,0.013334,0.011971
5.975000,2.539604,0.013686,0.011968
6.075000,2.586606,0.014249,0.011968
6.162500,2.628048,0.014744,0.011961
6.262500,2.674287,0.015297,0.011967
6.362500,2.722913,0.015872,0.011811
6.450000,2.767771,0.016245,0.009563
6.525000,2.806268,0.016472,0.007502
6.625000,2.857365,0.016649,0.004781
6.725000,2.908188,0.016690,0.002118
6.812500,2.951308,0.016605,-0.000337
6.900000,2.993524,0.016588,-0.000347
7.000000,3.042358,0.016571,-0.000347
7.075000,3.079407,0.016558,-0.000350
7.175000,3.125826,0.016535,-0.000438
7.275000,3.171763,0.016516,-0.000416
7.375000,3.222151,0.016495,-0.000417
7.475000,3.272656,0.016474,-0.000417
7.600000,3.335749,0.016447,-0.000414
7.675000,3.373317,0.016431,-0.000420
7.775000,3.423112,0.016410,-0.000419
7.875000,3.473735,0.016388,-0.000424
7.975000,3.521198,0.016366,-0.000454
8.100000,3.578477,0.016341,-0.000415
8.200000,3.629068,0.016319,-0.000431
8.300000,3.679928,0.016297,-0.000430
8.412500,3.736665,0.016271,-0.000453
8.500000,3.777800,0.016209,-0.001246
8.600000,3.825688,0.015954,-0.003902
8.700000,3.877875,0.015548,-0.006602
8.800000,3.925929,0.015003,-0.009679
8.900000,3.972246,0.014362,-0.012330
9.000000,4.023157,0.013539,-0.014961
9.100000,4.074590,0.012766,-0.014980
9.212500,4.128436,0.011951,-0.015086
9.312500,4.175160,0.011246,-0.015091
9.400000,4.215340,0.010680,-0.014322
9.500000,4.265547,0.010181,-0.011406
9.600000,4.316036,0.009672,-0.010717
9.712500,4.372834,0.009070,-0.010553
9.800000,4.414544,0.008696,-0.009785
9.900000,4.461877,0.008233,-0.009790
10.012500,4.512922,0.007727,-0.009867
10.125000,4.559036,0.007269,-0.009901
10.212500,4.592259,0.006940,-0.009906
10.312500,4.627803,0.006586,-0.009933
10.412500,4.660557,0.006259,-0.009942
10.512500,4.691221,0.005955,-0.009939
10.612500,4.719712,0.005671,-0.009951
10.712500,4.745958,0.005408,-0.009977
10.812500,4.770235,0.005167,-0.009964
10.950000,4.801240,0.004857,-0.009975
11.025000,4.816996,0.004700,-0.009985
11.112500,4.833909,0.004531,-0.009978
11.212500,4.851726,0.004354,-0.009972
11.312500,4.866443,0.004207,-0.009965
11.425000,4.879410,0.004077,-0.009983
11.525000,4.887865,0.003993,-0.009974
11.625000,4.893055,0.003940,-0.009982
11.750000,4.895784,0.003914,-0.009976
